TACIER 	XC
ECROU  	  
GOUJON 	  
GOUJON1	GF
COLONNE	  
EMBALLA	  
VIS DIV	  
TCUIVRE	CU
TLAITON	UZ
TALUMIN	AL
QUINCAI	  
TINOX  	IN
CORNIER	CO
PLAQDIV	PL
MOUSSE 	MO
PTFOURN	  
TUBE   	TU
S/T DIV	  
ROULEAU	RL
RIVET  	  
MAT    	  
STDIV  	  
DEVIS  	  
DOUILLE	  
PLAT   	PT
TPERFOR	TP
FIN    	  
ROND   	RD
ADMI   	  
CARTON 	CA
TUBE_CA	TC
TUBE_RD	TD
TUBE_RE	TR
U      	U 
1/4ROND	QR
BARRE  	BA
MANNESM	  
TRUMPF 	  
H      	H 
T      	T 
HEXA   	HX
AMADA  	  
CLIENT 	  
PRO_VA 	VA
GAB_CON	  
OUT_SER	  
GAB_C  	  
TUBE_AI	TA
PD     	PD
